"Mã sản phẩm","Phương pháp bổ sung","Item Group","Tên sản phẩm","Mã biến thể","Tên biến thể","Công suất","Màu ánh sáng","Chip LED","Nguồn","Kiểu nguồn","Phân loại vỏ"
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4P3DT","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, Done Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","Done Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3P3DT","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Lumileds 3030, Done Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","Done Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6P3PT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Philips Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Philips Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5P3PT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Lumileds 3030, Philips Dim 1 Cấp","50","Trắng (5.000K)","Lumileds 3030","Philips Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4P3PT","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, Philips Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","Philips Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3P3PT","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Lumileds 3030, Philips Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","Philips Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6P3PD","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Philips Dim 10 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Philips Dim 10 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5P3PD","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Lumileds 3030, Philips Dim 10 Cấp","50","Trắng (5.000K)","Lumileds 3030","Philips Dim 10 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4P3PD","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, Philips Dim 10 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","Philips Dim 10 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3P3PD","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Lumileds 3030, Philips Dim 10 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","Philips Dim 10 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6P3MT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Meanwell Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Meanwell Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5P3MT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Lumileds 3030, Meanwell Dim 1 Cấp","50","Trắng (5.000K)","Lumileds 3030","Meanwell Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4P3MT","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Lumileds 3030, Meanwell Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Lumileds 3030","Meanwell Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3P3MT","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Lumileds 3030, Meanwell Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Lumileds 3030","Meanwell Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6P3ID","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Lumileds 3030, Inventronics Dim 5 Cấp","50","Trắng (6.000K - 6.500K)","Lumileds 3030","Inventronics Dim 5 Cấp","Nguồn to",""
